211,53,Fatal,0.924
212,54,Fender Bender,0.972
213,54,Moderate,0.612
214,54,Severe,0.636
215,54,Fatal,0.92
216,55,Fender Bender,0.968
217,55,Moderate,0.628
218,55,Severe,0.648
219,55,Fatal,0.924
220,56,Fender Bender,0.98
221,56,Moderate,0.62
222,56,Severe,0.64
223,56,Fatal,0.916
224,57,Fender Bender,0.976
225,57,Moderate,0.596
226,57,Severe,0.624
227,57,Fatal,0.924
228,58,Fender Bender,0.968
229,58,Moderate,0.608
230,58,Severe,0.628
231,58,Fatal,0.916
232,59,Fender Bender,0.972
233,59,Moderate,0.604
234,59,Severe,0.628
235,59,Fatal,0.928
236,60,Fender Bender,0.972
237,60,Moderate,0.632
238,60,Severe,0.596
239,60,Fatal,0.924
240,61,Fender Bender,0.968
241,61,Moderate,0.6
242,61,Severe,0.628
243,61,Fatal,0.936
244,62,Fender Bender,0.972
245,62,Moderate,0.6
246,62,Severe,0.62
247,62,Fatal,0.924
248,63,Fender Bender,0.968
249,63,Moderate,0.6
250,63,Severe,0.632
251,63,Fatal,0.92
252,64,Fender Bender,0.972
253,64,Moderate,0.604
254,64,Severe,0.628
255,64,Fatal,0.924
256,65,Fender Bender,0.972
257,65,Moderate,0.628
258,65,Severe,0.628
259,65,Fatal,0.932
260,66,Fender Bender,0.972
261,66,Moderate,0.616
262,66,Severe,0.624
263,66,Fatal,0.936
264,67,Fender Bender,0.968
265,67,Moderate,0.608
266,67,Severe,0.64
267,67,Fatal,0.924
268,68,Fender Bender,0.972
269,68,Moderate,0.6
270,68,Severe,0.64
271,68,Fatal,0.94
272,69,Fender Bender,0.972
273,69,Moderate,0.6
274,69,Severe,0.612
275,69,Fatal,0.928
276,70,Fender Bender,0.972
277,70,Moderate,0.616
278,70,Severe,0.596
279,70,Fatal,0.928
280,71,Fender Bender,0.968
281,71,Moderate,0.616
282,71,Severe,0.636
283,71,Fatal,0.94
284,72,Fender Bender,0.968
285,72,Moderate,0.592
286,72,Severe,0.64
287,72,Fatal,0.932
288,73,Fender Bender,0.964
289,73,Moderate,0.604
290,73,Severe,0.612
291,73,Fatal,0.928
292,74,Fender Bender,0.964
293,74,Moderate,0.612
294,74,Severe,0.616
295,74,Fatal,0.928
296,75,Fender Bender,0.972
297,75,Moderate,0.6
298,75,Severe,0.64
299,75,Fatal,0.924
300,76,Fender Bender,0.972
301,76,Moderate,0.596
302,76,Severe,0.636
303,76,Fatal,0.92
304,77,Fender Bender,0.968
305,77,Moderate,0.608
306,77,Severe,0.64
307,77,Fatal,0.928
308,78,Fender Bender,0.976
309,78,Moderate,0.604
310,78,Severe,0.636
311,78,Fatal,0.936
312,79,Fender Bender,0.972
313,79,Moderate,0.584
314,79,Severe,0.628
315,79,Fatal,0.936
316,80,Fender Bender,0.964
317,80,Moderate,0.604
318,80,Severe,0.616
319,80,Fatal,0.924
320,81,Fender Bender,0.968
321,81,Moderate,0.584
322,81,Severe,0.632
323,81,Fatal,0.92
324,82,Fender Bender,0.972
325,82,Moderate,0.62
326,82,Severe,0.608
327,82,Fatal,0.928
328,83,Fender Bender,0.968
329,83,Moderate,0.628
330,83,Severe,0.616
331,83,Fatal,0.928
332,84,Fender Bender,0.964
333,84,Moderate,0.608
334,84,Severe,0.62
335,84,Fatal,0.924
336,85,Fender Bender,0.968
337,85,Moderate,0.616
338,85,Severe,0.636
339,85,Fatal,0.932
340,86,Fender Bender,0.98
341,86,Moderate,0.608
342,86,Severe,0.616
343,86,Fatal,0.92
344,87,Fender Bender,0.972
345,87,Moderate,0.592
346,87,Severe,0.624
347,87,Fatal,0.92
348,88,Fender Bender,0.972
349,88,Moderate,0.624
350,88,Severe,0.64
351,88,Fatal,0.92
352,89,Fender Bender,0.972
353,89,Moderate,0.604
354,89,Severe,0.62
355,89,Fatal,0.92
356,90,Fender Bender,0.972
357,90,Moderate,0.612
358,90,Severe,0.624
359,90,Fatal,0.928
360,91,Fender Bender,0.968
361,91,Moderate,0.604
362,91,Severe,0.624
363,91,Fatal,0.928
364,92,Fender Bender,0.976
365,92,Moderate,0.608
366,92,Severe,0.612
367,92,Fatal,0.92
368,93,Fender Bender,0.98
369,93,Moderate,0.616
370,93,Severe,0.628
371,93,Fatal,0.92
