211,53,Fatal,0.96
212,54,Fender Bender,0.98
213,54,Moderate,0.672
214,54,Severe,0.728
215,54,Fatal,0.96
216,55,Fender Bender,0.98
217,55,Moderate,0.664
218,55,Severe,0.728
219,55,Fatal,0.96
220,56,Fender Bender,0.98
221,56,Moderate,0.656
222,56,Severe,0.72
223,56,Fatal,0.96
224,57,Fender Bender,0.98
225,57,Moderate,0.676
226,57,Severe,0.724
227,57,Fatal,0.96
228,58,Fender Bender,0.98
229,58,Moderate,0.66
230,58,Severe,0.712
231,58,Fatal,0.96
232,59,Fender Bender,0.98
233,59,Moderate,0.672
234,59,Severe,0.724
235,59,Fatal,0.96
236,60,Fender Bender,0.98
237,60,Moderate,0.66
238,60,Severe,0.72
239,60,Fatal,0.96
240,61,Fender Bender,0.98
241,61,Moderate,0.68
242,61,Severe,0.716
243,61,Fatal,0.96
244,62,Fender Bender,0.98
245,62,Moderate,0.652
246,62,Severe,0.704
247,62,Fatal,0.96
248,63,Fender Bender,0.98
249,63,Moderate,0.672
250,63,Severe,0.72
251,63,Fatal,0.96
252,64,Fender Bender,0.98
253,64,Moderate,0.68
254,64,Severe,0.724
255,64,Fatal,0.96
256,65,Fender Bender,0.98
257,65,Moderate,0.672
258,65,Severe,0.712
259,65,Fatal,0.96
260,66,Fender Bender,0.98
261,66,Moderate,0.656
262,66,Severe,0.72
263,66,Fatal,0.96
264,67,Fender Bender,0.98
265,67,Moderate,0.668
266,67,Severe,0.716
267,67,Fatal,0.96
268,68,Fender Bender,0.98
269,68,Moderate,0.656
270,68,Severe,0.72
271,68,Fatal,0.96
272,69,Fender Bender,0.98
273,69,Moderate,0.656
274,69,Severe,0.704
275,69,Fatal,0.96
276,70,Fender Bender,0.98
277,70,Moderate,0.664
278,70,Severe,0.724
279,70,Fatal,0.96
280,71,Fender Bender,0.98
281,71,Moderate,0.66
282,71,Severe,0.728
283,71,Fatal,0.96
284,72,Fender Bender,0.98
285,72,Moderate,0.684
286,72,Severe,0.728
287,72,Fatal,0.96
288,73,Fender Bender,0.98
289,73,Moderate,0.668
290,73,Severe,0.72
291,73,Fatal,0.96
292,74,Fender Bender,0.98
293,74,Moderate,0.652
294,74,Severe,0.724
295,74,Fatal,0.96
296,75,Fender Bender,0.98
297,75,Moderate,0.656
298,75,Severe,0.72
299,75,Fatal,0.96
300,76,Fender Bender,0.98
301,76,Moderate,0.66
302,76,Severe,0.716
303,76,Fatal,0.96
